BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,16441745,42401593,25959848,1223170,48879695
2,62681338,89098568,26417230,1223170,51101669
3,107468113,134036188,26568075,1223170,51101842
4,151351743,177961047,26609304,1223170,51101574
5,195605650,222111248,26505598,1223170,51101296
6,241027557,267438098,26410541,1223170,51103156
7,285391840,311723749,26331909,1223170,51068888
8,329071075,355619246,26548171,1223170,50866147
9,376658374,402908233,26249859,1223170,56922704
10,422729502,448776002,26046500,1223170,58207424
11,469118342,495202810,26084468,1223170,58206579
12,514008077,540076796,26068719,1223170,58206279
13,558729940,584718659,25988719,1223170,58205566
14,603531147,629571654,26040507,1223170,58061685
15,647588973,673710058,26121085,1223170,57701308
16,691612121,717470358,25858237,1223170,57700116
17,717492465,717494238,1773,3,643
